DATE,DATASET,WATERTEMP,AIRTEMP,FLOW,PRECIP,CLOUD,SUNSHINE,WIND
1977-07-06,TEST,18.8,13.9,71.0752179687212,0.3,30,870,2.9
1977-07-07,TEST,18.8,13.9,70.5088815705641,0,0,942,2.9
1977-07-08,TRAIN,19.9,17.25,67.3940313806998,0,55,792,2.9
1977-07-09,TRAIN,21,18.9,65.1286857880713,2,80,354,2.9
1977-07-10,TRAIN,19.8,16.65,65.4118539871498,17,75,294,2.9
1977-07-11,TEST,19.5,15.25,64.8455175889927,0,60,780,2.9
1977-07-12,TRAIN,20.5,19.7,64.8455175889927,1.3,70,390,2.9
1977-07-13,TRAIN,20,16.65,65.1286857880713,4.3,70,336,2.9
1977-07-14,TEST,20,16.4,65.978190385307,0,5,882,2.9
1977-07-15,TRAIN,21.6,20.8,61.7306673991284,0,15,930,2.9
1977-07-16,TRAIN,22.6,22.5,58.049480811107,0,60,714,2.9
1977-07-17,TEST,22.3,21.4,54.6514624221641,0,85,168,2.9
1977-07-18,TRAIN,21.4,20.3,52.6692850286142,0,80,210,2.9
1977-07-19,TRAIN,21.1,20.25,48.9880984405927,2.3,60,594,2.9
1977-07-20,TRAIN,21.6,20.3,51.5366122322999,0.5,40,600,2.9
1977-07-21,TRAIN,22.6,22.5,50.4039394359856,0,65,504,2.9
1977-07-22,TRAIN,23,22.75,49.2712666396713,0,40,660,2.9
1977-07-23,TRAIN,23.8,25.8,47.2890892461213,0,75,576,2.9
1977-07-24,TEST,23.5,20.85,44.174239056257,3,90,336,2.9
1977-07-25,TRAIN,22.2,19.4,44.4574072553356,2.8,75,204,2.9
1977-07-26,TEST,21.6,20.25,45.5900800516499,0,60,510,2.9
1977-07-27,TEST,22.1,19.45,49.5544348387499,0,20,720,2.9
1977-07-28,TRAIN,22.6,21.4,53.2356214267713,0,70,612,2.9
1977-07-29,TRAIN,22.8,20.55,61.1643310009713,0,0,900,2.9
1977-07-30,TEST,21.7,20.55,56.3504716166356,0,5,876,2.9
1977-07-31,TRAIN,21.3,21.1,50.120771236907,0,15,870,2.9
1977-08-01,TRAIN,22,22.5,47.5722574451999,0,0,882,2.9
