# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-15 12:49:49 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06054500 Missouri River at Toston MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06054500
#            TS   parameter     statistic     Description
#         80893       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         80894       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         80895       00010     00003     Temperature, water, degrees Celsius (Mean)
#         80896       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	80893_00010_00001	80893_00010_00001_cd	80894_00010_00002	80894_00010_00002_cd	80895_00010_00003	80895_00010_00003_cd	80896_00060_00003	80896_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	06054500	1950-11-01							4550	A
USGS	06054500	1950-11-02							4570	A
USGS	06054500	1950-11-03							4570	A
USGS	06054500	1950-11-04							4480	A
USGS	06054500	1950-11-05							4460	A
USGS	06054500	1950-11-06							4420	A
USGS	06054500	1950-11-07							4360	A
USGS	06054500	1950-11-08							4440	A
USGS	06054500	1950-11-09							4440	A
USGS	06054500	1950-11-10							4190	A
USGS	06054500	1950-11-11							4180	A
USGS	06054500	1950-11-12							4500	A
USGS	06054500	1950-11-13							4400	A
USGS	06054500	1950-11-14							4750	A
USGS	06054500	1950-11-15							4750	A
USGS	06054500	1950-11-16							4870	A
USGS	06054500	1950-11-17							4810	A
USGS	06054500	1950-11-18							4890	A
USGS	06054500	1950-11-19							4930	A
USGS	06054500	1950-11-20							4870	A
USGS	06054500	1950-11-21							4870	A
USGS	06054500	1950-11-22							4690	A
USGS	06054500	1950-11-23							4360	A
USGS	06054500	1950-11-24							4500	A
USGS	06054500	1950-11-25							5180	A
USGS	06054500	1950-11-26							4810	A
USGS	06054500	1950-11-27							4810	A
USGS	06054500	1950-11-28							4770	A
USGS	06054500	1950-11-29							4730	A
USGS	06054500	1950-11-30							4670	A
USGS	06054500	1950-12-01							4670	A
USGS	06054500	1950-12-02							4610	A
USGS	06054500	1950-12-03							4420	A
USGS	06054500	1950-12-04							4480	A
USGS	06054500	1950-12-05							3590	A
USGS	06054500	1950-12-06							3020	A
USGS	06054500	1950-12-07							3550	A
USGS	06054500	1950-12-08							4120	A
USGS	06054500	1950-12-09							4360	A
USGS	06054500	1950-12-10							4460	A
USGS	06054500	1950-12-11							4690	A
USGS	06054500	1950-12-12							4750	A
USGS	06054500	1950-12-13							4710	A
USGS	06054500	1950-12-14							4310	A
USGS	06054500	1950-12-15							4290	A
USGS	06054500	1950-12-16							4300	A
USGS	06054500	1950-12-17							4400	A
USGS	06054500	1950-12-18							4400	A
USGS	06054500	1950-12-19							4400	A
USGS	06054500	1950-12-20							4450	A
USGS	06054500	1950-12-21							4500	A
USGS	06054500	1950-12-22							4500	A
USGS	06054500	1950-12-23							4450	A
USGS	06054500	1950-12-24							4500	A
USGS	06054500	1950-12-25							4600	A
USGS	06054500	1950-12-26							4600	A
USGS	06054500	1950-12-27							4500	A
USGS	06054500	1950-12-28							4300	A
USGS	06054500	1950-12-29							4270	A
USGS	06054500	1950-12-30							4250	A
USGS	06054500	1950-12-31							4250	A
USGS	06054500	1951-01-01							4030	A
USGS	06054500	1951-01-02							3980	A
USGS	06054500	1951-01-03							4100	A
USGS	06054500	1951-01-04							4120	A
USGS	06054500	1951-01-05							4010	A
USGS	06054500	1951-01-06							3620	A
USGS	06054500	1951-01-07							3440	A
USGS	06054500	1951-01-08							3250	A
USGS	06054500	1951-01-09							3200	A
USGS	06054500	1951-01-10							3300	A
USGS	06054500	1951-01-11							3400	A
USGS	06054500	1951-01-12							3400	A
USGS	06054500	1951-01-13							3500	A
USGS	06054500	1951-01-14							3830	A
USGS	06054500	1951-01-15							4090	A
USGS	06054500	1951-01-16							4180	A
USGS	06054500	1951-01-17							3780	A
USGS	06054500	1951-01-18							3600	A
USGS	06054500	1951-01-19							3400	A
USGS	06054500	1951-01-20							3200	A
USGS	06054500	1951-01-21							3300	A
USGS	06054500	1951-01-22							3500	A
USGS	06054500	1951-01-23							3500	A
USGS	06054500	1951-01-24							3600	A
USGS	06054500	1951-01-25							3800	A
USGS	06054500	1951-01-26							3400	A
USGS	06054500	1951-01-27							2500	A
USGS	06054500	1951-01-28							2000	A
USGS	06054500	1951-01-29							1770	A
USGS	06054500	1951-01-30							1700	A
USGS	06054500	1951-01-31							1800	A
USGS	06054500	1951-02-01							1900	A
USGS	06054500	1951-02-02							2000	A
USGS	06054500	1951-02-03							2100	A
USGS	06054500	1951-02-04							2200	A
USGS	06054500	1951-02-05							2400	A
USGS	06054500	1951-02-06							2700	A
USGS	06054500	1951-02-07							3200	A
USGS	06054500	1951-02-08							3740	A
USGS	06054500	1951-02-09							4160	A
USGS	06054500	1951-02-10							4970	A
USGS	06054500	1951-02-11							6220	A
USGS	06054500	1951-02-12							5510	A
USGS	06054500	1951-02-13							4670	A
USGS	06054500	1951-02-14							4360	A
USGS	06054500	1951-02-15							4520	A
USGS	06054500	1951-02-16							4570	A
USGS	06054500	1951-02-17							4440	A
USGS	06054500	1951-02-18							4320	A
USGS	06054500	1951-02-19							4270	A
USGS	06054500	1951-02-20							4190	A
USGS	06054500	1951-02-21							4120	A
USGS	06054500	1951-02-22							4000	A
USGS	06054500	1951-02-23							3900	A
USGS	06054500	1951-02-24							3940	A
USGS	06054500	1951-02-25							4070	A
USGS	06054500	1951-02-26							4100	A
USGS	06054500	1951-02-27							4070	A
USGS	06054500	1951-02-28							3730	A
USGS	06054500	1951-03-01							3800	A
USGS	06054500	1951-03-02							3760	A
USGS	06054500	1951-03-03							3320	A
USGS	06054500	1951-03-04							3120	A
USGS	06054500	1951-03-05							2540	A
USGS	06054500	1951-03-06							1900	A
USGS	06054500	1951-03-07							1900	A
USGS	06054500	1951-03-08							1900	A
USGS	06054500	1951-03-09							2000	A
USGS	06054500	1951-03-10							2300	A
USGS	06054500	1951-03-11							2700	A
USGS	06054500	1951-03-12							3100	A
USGS	06054500	1951-03-13							3540	A
USGS	06054500	1951-03-14							3850	A
USGS	06054500	1951-03-15							4050	A
USGS	06054500	1951-03-16							4000	A
USGS	06054500	1951-03-17							3850	A
USGS	06054500	1951-03-18							3820	A
USGS	06054500	1951-03-19							3820	A
USGS	06054500	1951-03-20							4070	A
USGS	06054500	1951-03-21							4590	A
USGS	06054500	1951-03-22							7000	A
USGS	06054500	1951-03-23							5510	A
USGS	06054500	1951-03-24							5480	A
USGS	06054500	1951-03-25							6110	A
USGS	06054500	1951-03-26							6580	A
USGS	06054500	1951-03-27							6760	A
USGS	06054500	1951-03-28							5530	A
USGS	06054500	1951-03-29							4830	A
USGS	06054500	1951-03-30							4850	A
USGS	06054500	1951-03-31							5240	A
USGS	06054500	1951-04-01							5070	A
USGS	06054500	1951-04-02							4910	A
USGS	06054500	1951-04-03							5090	A
USGS	06054500	1951-04-04							5240	A
USGS	06054500	1951-04-05							5180	A
USGS	06054500	1951-04-06							5180	A
USGS	06054500	1951-04-07							5260	A
USGS	06054500	1951-04-08							5240	A
USGS	06054500	1951-04-09							5370	A
USGS	06054500	1951-04-10							5850	A
USGS	06054500	1951-04-11							6190	A
USGS	06054500	1951-04-12							6270	A
USGS	06054500	1951-04-13							6090	A
USGS	06054500	1951-04-14							6240	A
USGS	06054500	1951-04-15							6400	A
USGS	06054500	1951-04-16							6350	A
USGS	06054500	1951-04-17							6560	A
USGS	06054500	1951-04-18							6300	A
USGS	06054500	1951-04-19							6300	A
USGS	06054500	1951-04-20							6500	A
USGS	06054500	1951-04-21							6300	A
USGS	06054500	1951-04-22							5730	A
USGS	06054500	1951-04-23							5070	A
USGS	06054500	1951-04-24							5180	A
USGS	06054500	1951-04-25							5050	A
USGS	06054500	1951-04-26							4790	A
USGS	06054500	1951-04-27							4890	A
USGS	06054500	1951-04-28							4970	A
USGS	06054500	1951-04-29							5140	A
USGS	06054500	1951-04-30							5710	A
USGS	06054500	1951-05-01							6660	A
USGS	06054500	1951-05-02							6300	A
USGS	06054500	1951-05-03							6040	A
USGS	06054500	1951-05-04							5850	A
USGS	06054500	1951-05-05							5950	A
USGS	06054500	1951-05-06							6190	A
USGS	06054500	1951-05-07							6740	A
USGS	06054500	1951-05-08							7650	A
USGS	06054500	1951-05-09							8670	A
USGS	06054500	1951-05-10							10000	A
USGS	06054500	1951-05-11							10600	A
USGS	06054500	1951-05-12							11100	A
USGS	06054500	1951-05-13							11400	A
USGS	06054500	1951-05-14							11400	A
USGS	06054500	1951-05-15							11500	A
USGS	06054500	1951-05-16							11100	A
USGS	06054500	1951-05-17							10700	A
USGS	06054500	1951-05-18							10700	A
USGS	06054500	1951-05-19							11500	A
USGS	06054500	1951-05-20							12200	A
USGS	06054500	1951-05-21							12600	A
USGS	06054500	1951-05-22							12700	A
USGS	06054500	1951-05-23							13100	A
USGS	06054500	1951-05-24							14100	A
USGS	06054500	1951-05-25							15400	A
USGS	06054500	1951-05-26							15600	A
USGS	06054500	1951-05-27							15100	A
USGS	06054500	1951-05-28							15000	A
USGS	06054500	1951-05-29							15200	A
USGS	06054500	1951-05-30							15400	A
USGS	06054500	1951-05-31							15000	A
USGS	06054500	1951-06-01							14400	A
USGS	06054500	1951-06-02							14100	A
USGS	06054500	1951-06-03							13400	A
USGS	06054500	1951-06-04							12700	A
USGS	06054500	1951-06-05							10900	A
USGS	06054500	1951-06-06							10300	A
USGS	06054500	1951-06-07							10500	A
USGS	06054500	1951-06-08							10500	A
USGS	06054500	1951-06-09							10300	A
USGS	06054500	1951-06-10							9500	A
USGS	06054500	1951-06-11							8760	A
USGS	06054500	1951-06-12							7540	A
USGS	06054500	1951-06-13							7030	A
USGS	06054500	1951-06-14							7400	A
