Date,Peche,Temperature,Debit
1977-07-06,Ouverte,13.9,71.0752179687212
1977-07-07,Ouverte,13.9,70.5088815705641
1977-07-08,Fermée,17.25,67.3940313806998
1977-07-09,Fermée,18.9,65.1286857880713
1977-07-10,Fermée,16.65,65.4118539871498
1977-07-11,Fermée,15.25,64.8455175889927
1977-07-12,Fermée,19.7,64.8455175889927
1977-07-13,Fermée,16.65,65.1286857880713
1977-07-14,Fermée,16.4,65.978190385307
1977-07-15,Fermée,20.8,61.7306673991284
1977-07-16,Fermée,22.5,58.049480811107
1977-07-17,Fermée,21.4,54.6514624221641
1977-07-18,Fermée,20.3,52.6692850286142
1977-07-19,Fermée,20.25,48.9880984405927
1977-07-20,Fermée,20.3,51.5366122322999
1977-07-21,Fermée,22.5,50.4039394359856
1977-07-22,Fermée,22.75,49.2712666396713
1977-07-23,Fermée,25.8,47.2890892461213
1977-07-24,Fermée,20.85,44.174239056257
1977-07-25,Fermée,19.4,44.4574072553356
1977-07-26,Fermée,20.25,45.5900800516499
1977-07-27,Fermée,19.45,49.5544348387499
1977-07-28,Fermée,21.4,53.2356214267713
1977-07-29,Fermée,20.55,61.1643310009713
1977-07-30,Fermée,20.55,56.3504716166356
1977-07-31,Fermée,21.1,50.120771236907
1977-08-01,Fermée,22.5,47.5722574451999
1977-08-02,Fermée,21.4,45.5900800516499
1977-08-03,Fermée,20.3,44.174239056257
1977-08-04,Fermée,15.85,44.4574072553356
1977-08-05,Fermée,16.95,43.0415662599427
1977-08-06,Fermée,17.2,43.6079026580999
1977-08-07,Fermée,18.9,43.3247344590213
1977-08-08,Fermée,18.35,42.4752298617856
1977-08-09,Fermée,15.55,43.0415662599427
1977-08-10,Fermée,16.1,43.0415662599427
1977-08-11,Fermée,16.9,42.192061662707
1977-08-12,Fermée,18.3,41.3425570654713
1977-08-13,Fermée,19.45,40.7762206673142
1977-08-14,Fermée,17.5,40.4930524682356
1977-08-15,Fermée,16.65,42.7583980608642
1977-08-16,Fermée,18.3,44.4574072553356
1977-08-17,Fermée,20.25,46.156416449807
1977-08-18,Fermée,22.25,45.8732482507284
1977-08-19,Fermée,24.15,43.8910708571785
1977-08-20,Fermée,20,44.7405754544142
1977-08-21,Fermée,20,42.192061662707
1977-08-22,Fermée,18.35,42.192061662707
1977-08-23,Fermée,18.9,44.4574072553356
1977-08-24,Fermée,20.3,47.0059210470427
1977-08-25,Ouverte,15.25,49.2712666396713
1977-08-26,Ouverte,13.05,53.8019578249284
1977-08-27,Ouverte,13.3,62.2970037972856
1977-08-28,Ouverte,12.5,63.1465083945213
1977-08-29,Ouverte,15.85,65.4118539871498
1977-08-30,Ouverte,8.9,67.6771995797784
1977-08-31,Ouverte,10,75.8890773530569
1977-09-01,Ouverte,14.45,79.8534321401569
1977-09-02,Ouverte,15,80.4197685383141
1977-09-03,Ouverte,16.95,80.7029367373926
1977-09-04,Ouverte,20,79.8534321401569
1977-09-05,Ouverte,20.55,80.1366003392355
1977-09-06,Ouverte,20.25,78.4375911447641
1977-09-07,Fermée,19.45,77.3049183484498
1977-09-08,Ouverte,13.6,75.8890773530569
1977-09-09,Ouverte,13.35,74.1900681585855
1977-09-10,Ouverte,15.55,73.6237317604284
1977-09-11,Ouverte,16.1,73.6237317604284
1977-09-12,Ouverte,14.75,72.7742271631927
1977-09-13,Ouverte,16.35,66.2613585843855
1977-09-14,Ouverte,16.35,71.3583861677998
1977-09-15,Ouverte,13.6,76.7385819502927
1977-09-16,Ouverte,12.2,88.3484781125141
1977-09-17,Ouverte,10.55,93.1623374968497
1977-09-18,Ouverte,11.1,94.8613466913212
1977-09-19,Ouverte,13.65,95.1445148903998
1977-09-20,Ouverte,13.35,92.5960010986926
1977-09-21,Ouverte,10.55,94.295010293164
1977-09-22,Ouverte,8.85,97.6930286821069
1977-09-23,Ouverte,8.9,102.223719867364
1977-09-24,Ouverte,9.45,104.772233659071
1977-09-25,Ouverte,7.25,106.754411052621
1977-09-26,Ouverte,10,114.683120626821
1977-09-27,Ouverte,10.3,113.550447830507
1977-09-28,Ouverte,10.85,110.152429441564
1977-09-29,Ouverte,10.85,109.586093043407
1977-09-30,Ouverte,10,119.780148210235
1977-10-01,Ouverte,7.5,139.885090344814
1977-10-02,Ouverte,7.75,143.283108733757
1977-10-03,Ouverte,6.65,134.504894562321
1977-10-04,Ouverte,3.05,127.425689585357
1977-10-05,Ouverte,4.45,127.142521386278
1977-10-06,Ouverte,5.85,129.407866978907
1977-10-07,Ouverte,8.3,131.956380770614
1977-10-08,Ouverte,8.65,140.451426742971
1977-10-09,Ouverte,4.15,135.920735557714
1977-10-10,Ouverte,2.75,139.885090344814
1977-10-11,Ouverte,5,134.221726363242
1977-10-12,Ouverte,9.2,132.522717168771
1977-10-13,Ouverte,11.95,130.540539775221
1977-10-14,Ouverte,8.65,130.540539775221
1977-10-15,Ouverte,9.15,131.390044372457
1977-10-16,Ouverte,10,132.80588536785
1977-10-17,Ouverte,9.45,132.522717168771
1977-10-18,Ouverte,8.6,136.203903756793
1977-10-19,Ouverte,9.15,133.089053566928
1977-10-20,Ouverte,10,132.80588536785
1977-10-21,Ouverte,8.05,131.390044372457
1977-10-22,Ouverte,8.05,126.8593531872
1977-10-23,Ouverte,8.6,124.310839395493
1977-10-24,Ouverte,10.85,124.594007594571
1977-10-25,Ouverte,12.5,124.310839395493
1977-10-26,Ouverte,7.2,125.443512191807
1977-10-27,Ouverte,4.45,125.726680390885
1977-10-28,Ouverte,6.35,126.293016789043
1977-10-29,Ouverte,8.9,127.142521386278
1977-10-30,Ouverte,5.3,129.124698779828
1977-10-31,Ouverte,3.3,129.407866978907
1978-04-01,Ouverte,8.65,285.999881069356
1978-04-02,Ouverte,7.2,305.821655004856
1978-04-03,Ouverte,5.55,305.821655004856
1978-04-04,Ouverte,8.35,285.999881069356
1978-04-05,Ouverte,8.05,251.453360781771
1978-04-06,Ouverte,5,229.649409452721
1978-04-07,Ouverte,3.9,194.253384567899
1978-04-08,Ouverte,8.35,201.898925943021
1978-04-09,Ouverte,7.5,195.386057364214
1978-04-10,Ouverte,9.4,194.253384567899
1978-04-11,Ouverte,7.2,190.005861581721
1978-04-12,Ouverte,6.4,191.704870776192
1978-04-13,Ouverte,4.75,189.439525183564
1978-04-14,Ouverte,6.95,185.758338595542
1978-04-15,Ouverte,9.45,176.980124424107
1978-04-16,Ouverte,10.3,177.546460822264
1978-04-17,Ouverte,5.8,184.059329401071
1978-04-18,Ouverte,8.6,188.590020586328
1978-04-19,Ouverte,8.3,186.3246749937
1978-04-20,Ouverte,10.3,178.112797220421
1978-04-21,Ouverte,6.95,178.679133618578
1978-04-22,Ouverte,7.75,183.492993002914
1978-04-23,Ouverte,6.95,178.3959654195
1978-04-24,Ouverte,8.85,170.4672558453
1978-04-25,Ouverte,13.6,164.52072366465
1978-04-26,Ouverte,13.9,163.954387266492
1978-04-27,Ouverte,13.05,171.883096840692
1978-04-28,Ouverte,14.15,185.475170396464
1978-04-29,Ouverte,12.5,201.898925943021
1978-04-30,Ouverte,13.05,206.995953526435
1978-05-01,Ouverte,13.9,207.845458123671
1978-05-02,Ouverte,12.2,218.889017887735
1978-05-03,Ouverte,10.25,244.940492202964
1978-05-04,Ouverte,6.95,255.984051967028
1978-05-05,Ouverte,6.1,252.302865379006
1978-05-06,Ouverte,7.75,247.205837795592
1978-05-07,Ouverte,10,240.692969216785
1978-05-08,Ouverte,9.7,232.764259642585
1978-05-09,Ouverte,13.6,218.039513290499
1978-05-10,Ouverte,13.85,206.146448929199
1978-05-11,Ouverte,10.85,210.393971915378
1978-05-12,Ouverte,11.65,225.118718267464
1978-05-13,Ouverte,14.45,227.667232059171
1978-05-14,Ouverte,19.75,220.871195281285
1978-05-15,Ouverte,16.4,223.702877272071
1978-05-16,Ouverte,11.4,255.417715568871
1978-05-17,Ouverte,9.75,308.653336995642
1978-05-18,Ouverte,9.7,322.811746949571
1978-05-19,Ouverte,13.3,339.801838894285
1978-05-20,Ouverte,13.85,325.643428940356
1978-05-21,Ouverte,15.25,305.821655004856
1978-05-22,Ouverte,14.7,291.663245050928
1978-05-23,Ouverte,9.75,300.158291023285
1978-05-24,Ouverte,11.4,325.643428940356
1978-05-25,Ouverte,8.9,362.45529482057
1978-05-26,Ouverte,10,365.286976811356
1978-05-27,Ouverte,12.5,336.970156903499
1978-05-28,Ouverte,15.55,305.821655004856
1978-05-29,Ouverte,11.65,288.831563060142
1978-05-30,Ouverte,10.85,285.999881069356
1978-05-31,Ouverte,8.9,279.770180689628
1978-06-01,Ouverte,12.5,271.841471115428
1978-06-02,Ouverte,13.9,255.134547369792
1978-06-03,Ouverte,16.15,240.126632818628
1978-06-04,Ouverte,17.8,233.047427841664
1978-06-05,Ouverte,18.9,229.366241253642
1978-06-06,Ouverte,21.1,251.170192582692
1978-06-07,Ouverte,18.9,288.831563060142
1978-06-08,Ouverte,20.55,353.960248848213
1978-06-09,Ouverte,18.05,385.108750746856
1978-06-10,Ouverte,14.45,419.088934636285
1978-06-11,Ouverte,15,450.237436534927
1978-06-12,Ouverte,16.35,441.74239056257
1978-06-13,Ouverte,20,387.940432737642
1978-06-14,Ouverte,17.5,368.118658802142
1978-06-15,Ouverte,15.55,373.782022783713
1978-06-16,Ouverte,12.75,379.445386765285
1978-06-17,Ouverte,16.95,362.45529482057
1978-06-18,Ouverte,18.85,334.138474912713
1978-06-19,Ouverte,11.1,322.811746949571
1978-06-20,Ouverte,14.45,317.148382967999
1978-06-21,Ouverte,18.05,317.148382967999
1978-06-22,Ouverte,18.9,314.316700977213
1978-06-23,Ouverte,18.6,311.485018986428
1978-06-24,Ouverte,18.05,305.821655004856
1978-06-25,Ouverte,13.65,319.980064958785
1978-06-26,Ouverte,17.8,336.970156903499
1978-06-27,Ouverte,17.75,308.653336995642
1978-06-28,Ouverte,21.95,283.168199078571
1978-06-29,Ouverte,22.75,270.142461920956
1978-06-30,Ouverte,21.1,266.178107133856
1978-07-01,Ouverte,19.15,265.328602536621
1978-07-02,Ouverte,20.3,264.762266138464
1978-07-03,Ouverte,18.05,266.744443532014
1978-07-04,Ouverte,13.6,275.522657703449
1978-07-05,Ouverte,13.85,288.831563060142
1978-07-06,Ouverte,17.25,300.158291023285
1978-07-07,Ouverte,18.05,291.663245050928
1978-07-08,Ouverte,16.95,269.859293721878
1978-07-09,Ouverte,18.65,257.116724763342
1978-07-10,Ouverte,21.1,250.320687985457
1978-07-11,Ouverte,19.45,240.409801017707
1978-07-12,Ouverte,17.2,228.233568457328
1978-07-13,Ouverte,19.7,209.827635517221
1978-07-14,Fermée,20.8,190.005861581721
1978-07-15,Fermée,23.35,175.564283428714
1978-07-16,Fermée,20.8,173.865274234242
1978-07-17,Ouverte,18.6,163.671219067414
1978-07-18,Ouverte,18.6,163.954387266492
1978-07-19,Ouverte,15.85,156.875182289528
1978-07-20,Ouverte,16.65,156.308845891371
1978-07-21,Ouverte,16.4,167.069237456357
1978-07-22,Ouverte,18.6,162.5385462711
1978-07-23,Fermée,21.95,155.176173095057
1978-07-24,Fermée,22.75,146.964295321778
1978-07-25,Fermée,22.5,135.637567358635
1978-07-26,Fermée,22.5,124.027671196414
1978-07-27,Fermée,25.3,112.700943233271
1978-07-28,Fermée,20.25,102.506888066443
1978-07-29,Fermée,21.95,108.170252048014
1978-07-30,Fermée,21.95,105.904906455385
1978-07-31,Fermée,22.75,104.772233659071
1978-08-01,Fermée,19.2,98.5425332793426
1978-08-02,Fermée,16.4,89.1979827097498
1978-08-03,Fermée,18.05,84.1009551263355
1978-08-04,Fermée,20.55,80.9861049364712
1978-08-05,Fermée,23.35,78.4375911447641
1978-08-06,Fermée,23.3,75.8890773530569
1978-08-07,Fermée,24.15,71.924722565957
1978-08-08,Fermée,22.2,67.960367778857
1978-08-09,Fermée,23.6,66.2613585843855
1978-08-10,Fermée,24.15,63.4296765935998
1978-08-11,Fermée,22.5,58.049480811107
1978-08-12,Fermée,21.95,56.6336398157141
1978-08-13,Ouverte,15.8,58.6158172092641
1978-08-14,Ouverte,16.4,66.2613585843855
1978-08-15,Ouverte,18.65,65.4118539871498
1978-08-16,Ouverte,15.85,67.960367778857
1978-08-17,Ouverte,10.3,76.7385819502927
1978-08-18,Ouverte,13.6,80.1366003392355
1978-08-19,Ouverte,15.3,86.6494689180426
1978-08-20,Ouverte,18.65,90.3306555060641
1978-08-21,Ouverte,17.75,91.4633283023783
1978-08-22,Ouverte,16.95,87.4989735152783
1978-08-23,Ouverte,15.85,84.9504597235712
1978-08-24,Ouverte,19.7,84.9504597235712
